sample	BLCA	CESC	ESCA	HNSC	LUSC	window_size	coverage
32655_T_F111504	0.021445205	0.0046679736	0.008608729	0.7393542	0.22592384	200	0.2
33373_T_F94422	0.075133584	0.09628241	0.007530598	0.80103266	0.020020733	200	0.2
36067_T_F94494	0.026341895	0.03357349	0.009229063	0.9144257	0.016429957	200	0.2
40168_T_F94519	0.0421574	0.099709205	0.02661113	0.8092025	0.02231973	200	0.2
41813_T_F94516	0.006618812	0.0022204735	0.0029277594	0.9475909	0.04064208	200	0.2
F138888	0.0009467153	0.000853329	0.030703826	0.89309525	0.0744009	200	0.2
F148364	0.004185714	0.0005116575	0.010960057	0.4731371	0.51120543	200	0.2
F148365	0.008076678	0.007365828	0.031183429	0.8738491	0.07952498	200	0.2
F148367	0.016501164	0.003725975	0.0067152823	0.8197552	0.15330243	200	0.2
F148369	0.005674122	0.0033669027	0.009057559	0.92545253	0.056448914	200	0.2
F148370	0.008962521	0.004192255	0.0049284045	0.9400057	0.041911043	200	0.2
F148374	0.004494598	0.0011368113	0.016177606	0.6968015	0.28138945	200	0.2
F148375	0.0023171087	4.95068e-05	0.0012106755	0.21050847	0.7859143	200	0.2
F148376	0.02861929	0.008079973	0.0047070235	0.8553158	0.10327796	200	0.2
F148377	0.007926859	0.027373567	0.042928	0.9071079	0.014663677	200	0.2
32395_T_F112331-F94490	0.017923115	0.009244602	0.0017168453	0.9537875	0.017327894	250	0.2
32655_T_F111504	0.020938901	0.0042131166	0.008524938	0.71527183	0.25105125	250	0.2
33373_T_F94422	0.07632238	0.09184252	0.007262961	0.8034223	0.021149967	250	0.2
36067_T_F94494	0.025970688	0.033050347	0.010120833	0.9129792	0.017879006	250	0.2
40168_T_F94519	0.038506906	0.08724179	0.025800107	0.8252924	0.023158764	250	0.2
41813_T_F94516	0.0067835962	0.0022754578	0.0031937119	0.94474447	0.043002844	250	0.2
F138888	0.0009249451	0.00086188596	0.031624753	0.8936788	0.072909616	250	0.2
F148364	0.0033570675	0.0009913186	0.039886147	0.5161149	0.4396506	250	0.2
F148365	0.004769747	0.0049525066	0.08136557	0.76846796	0.14044417	250	0.2
F148367	0.017516984	0.0039661336	0.006674449	0.8202665	0.151576	250	0.2
F148369	0.0054117097	0.0029882293	0.008791217	0.92288965	0.059919193	250	0.2
F148370	0.009836514	0.004064064	0.0046541016	0.9336973	0.047747977	250	0.2
F148374	0.002890966	0.0007812356	0.016777568	0.71010715	0.26944306	250	0.2
F148375	0.0024461423	5.148325e-05	0.0011490106	0.2215611	0.7747923	250	0.2
F148376	0.02837777	0.008201851	0.004906918	0.8544736	0.10403984	250	0.2
F148377	0.008696822	0.034686223	0.061101977	0.87960607	0.015908822	250	0.2
32395_T_F112331-F94490	0.015537664	0.011619313	0.0030212132	0.9528917	0.016930161	300	0.2
32655_T_F111504	0.022486117	0.004999944	0.0097574545	0.71487284	0.24788368	300	0.2
33373_T_F94422	0.0756395	0.084382586	0.006154198	0.8135272	0.020296449	300	0.2
36067_T_F94494	0.026626466	0.032436606	0.011813664	0.90796846	0.021154838	300	0.2
40168_T_F94519	0.03886663	0.09484982	0.027778257	0.8162909	0.022214351	300	0.2
41813_T_F94516	0.006521604	0.0023491448	0.0039350884	0.94182277	0.045371488	300	0.2
F138888	0.0010288145	0.0009756662	0.033027593	0.8916946	0.07327329	300	0.2
F148364	0.0017056455	0.0002955467	0.022861326	0.4332468	0.5418907	300	0.2
F148365	0.0036530562	0.003834606	0.12733181	0.68084455	0.18433598	300	0.2
F148367	0.015201486	0.0034327887	0.006782644	0.81793046	0.15665269	300	0.2
F148369	0.004972763	0.002637986	0.009054697	0.91940296	0.063931525	300	0.2
F148370	0.009834885	0.0038464663	0.0045697815	0.9312006	0.050548304	300	0.2
F148374	0.002976531	0.0009731512	0.022299215	0.72180176	0.2519493	300	0.2
F148375	0.0027767818	5.4343807e-05	0.0010723908	0.20359585	0.7925006	300	0.2
F148376	0.028199758	0.008519571	0.0046779127	0.8624393	0.09616346	300	0.2
F148377	0.010245776	0.038249493	0.059602644	0.8745772	0.017324908	300	0.2
32395_T_F112331-F94490	0.082746886	0.032340627	0.0025183475	0.8537687	0.028625453	0	0.5
32655_T_F111504	0.02219984	0.028670175	0.07795445	0.7764224	0.094753146	0	0.5
33373_T_F94422	0.061304584	0.15723298	0.0067013386	0.7692746	0.005486515	0	0.5
36067_T_F94494	0.012009674	0.08269433	0.00401931	0.9005104	0.00076638727	0	0.5
40168_T_F94519	0.030388948	0.05089435	0.0073418487	0.89781386	0.013560936	0	0.5
41813_T_F94516	0.0030148583	0.0027592957	0.0005017451	0.99146265	0.0022614272	0	0.5
F138888	0.0013841301	0.017332122	0.39189932	0.570168	0.019216469	0	0.5
F148364	0.0044340272	9.314336e-05	0.00042116805	0.5498725	0.44517913	0	0.5
F148365	0.013158302	0.013118582	0.043950886	0.8386302	0.09114202	0	0.5
F148367	0.0020162931	0.0006537423	0.0195104	0.80031264	0.17750692	0	0.5
F148369	0.022568895	0.054548685	0.0018081131	0.9186915	0.0023827772	0	0.5
F148370	0.0036126364	0.002886542	0.0015350073	0.9840686	0.007897198	0	0.5
F148374	0.0072915647	0.0017179118	0.014519398	0.72922885	0.24724224	0	0.5
F148375	5.3710442e-05	5.3600684e-07	0.0005801502	0.058229625	0.94113594	0	0.5
F148376	0.050626356	0.024684949	0.020995634	0.74556047	0.15813252	0	0.5
F148377	0.0043714773	0.022730535	0.0076891426	0.9632938	0.0019151155	0	0.5
32395_T_F112331-F94490	0.015801232	0.0025845135	0.0022854193	0.8971597	0.082169086	50	0.5
32655_T_F111504	0.004597698	0.01632426	0.039677557	0.9263178	0.013082767	50	0.5
33373_T_F94422	0.02962275	0.48951843	0.017845055	0.46215436	0.00085945195	50	0.5
36067_T_F94494	0.008518123	0.13461246	0.014591119	0.84166247	0.0006158656	50	0.5
40168_T_F94519	0.07056514	0.011951799	0.014492278	0.45325878	0.449732	50	0.5
41813_T_F94516	0.0036298297	0.0019327935	0.0010334176	0.98535526	0.008048768	50	0.5
F138888	0.0008868143	0.00836265	0.47936285	0.4833932	0.027994553	50	0.5
F148364	0.0011025434	5.8337196e-06	9.7421354e-05	0.23990805	0.75888616	50	0.5
F148365	0.0041632815	0.005722752	0.03760915	0.9104611	0.042043783	50	0.5
F148367	0.0029869792	0.00027637556	0.0047123064	0.6243563	0.36766806	50	0.5
F148369	0.015337907	0.13059995	0.0023398849	0.85126734	0.00045486906	50	0.5
F148370	0.005305756	0.008679248	0.0036402515	0.97641414	0.0059606223	50	0.5
F148374	0.011127386	0.005963285	0.12169073	0.4340356	0.42718297	50	0.5
F148375	2.8511544e-05	2.0045573e-07	0.00035838754	0.05576025	0.9438527	50	0.5
F148376	0.17346933	0.10149452	0.041422226	0.47757018	0.20604372	50	0.5
F148377	0.004447698	0.016239	0.007828942	0.96843666	0.0030477599	50	0.5
32395_T_F112331-F94490	0.0021739334	0.0005966376	0.0028404577	0.9477502	0.046638742	100	0.5
32655_T_F111504	0.0047439123	0.012102256	0.020515565	0.9502481	0.012390209	100	0.5
33373_T_F94422	0.04082884	0.4289954	0.020636324	0.5076829	0.0018565346	100	0.5
36067_T_F94494	0.009263602	0.11678239	0.019973729	0.85294783	0.0010325178	100	0.5
40168_T_F94519	0.08084712	0.017656004	0.013656514	0.5654499	0.32239047	100	0.5
41813_T_F94516	0.0038311768	0.0016932267	0.0010143933	0.98315847	0.010302774	100	0.5
F138888	0.00076471356	0.0063147023	0.48168036	0.47821504	0.03302517	100	0.5
F148364	0.00089176785	4.133225e-06	7.470231e-05	0.2654678	0.7335616	100	0.5
F148365	0.004014111	0.0026383835	0.013128631	0.92884034	0.051378567	100	0.5
F148367	0.007500553	0.00050655316	0.003716196	0.5288284	0.45944834	100	0.5
F148369	0.013870156	0.10555491	0.002711659	0.87727565	0.00058760465	100	0.5
F148370	0.0069692084	0.00659687	0.0036941422	0.96992356	0.012816154	100	0.5
F148374	0.0027644981	0.0007668623	0.041420538	0.48449352	0.47055462	100	0.5
F148375	1.863112e-05	1.3603378e-07	0.00041048395	0.047464617	0.9521061	100	0.5
F148376	0.17264135	0.110785924	0.04040704	0.49700037	0.17916536	100	0.5
F148377	0.006014236	0.021713365	0.012350277	0.9553161	0.0046059876	100	0.5
32395_T_F112331-F94490	0.005276623	0.0012584664	0.0015472281	0.9555615	0.036356088	150	0.5
32655_T_F111504	0.0058082296	0.011416454	0.02331343	0.93915504	0.020306855	150	0.5
33373_T_F94422	0.0467625	0.50309044	0.02656318	0.42136678	0.0022170797	150	0.5
36067_T_F94494	0.0114511745	0.14608088	0.01571829	0.82591486	0.00083487097	150	0.5
40168_T_F94519	0.079154685	0.022903848	0.025966799	0.53421617	0.3377585	150	0.5
41813_T_F94516	0.004896944	0.0018061324	0.0012735735	0.9758055	0.016217813	150	0.5
F138888	0.0007484699	0.005876898	0.5040538	0.45257863	0.036742236	150	0.5
F148364	0.0011085394	6.5126505e-06	0.000113815295	0.27346918	0.725302	150	0.5
F148365	0.0011750873	0.00029042765	0.0056954096	0.88417614	0.10866295	150	0.5
F148367	0.0074296924	0.00051029667	0.003355743	0.5623999	0.4263043	150	0.5
F148369	0.01244982	0.10481726	0.0030444765	0.8791424	0.00054602884	150	0.5
F148370	0.0072624804	0.007349869	0.0043396666	0.9675166	0.013531401	150	0.5
F148374	0.0042108684	0.0018024566	0.05781201	0.59875226	0.33742237	150	0.5
F148375	2.1079279e-05	1.9076424e-07	0.00057076983	0.048949953	0.950458	150	0.5
F148376	0.17653908	0.10727566	0.043496836	0.4693272	0.20336121	150	0.5
F148377	0.005920575	0.016659472	0.010779722	0.9608237	0.0058164992	150	0.5
32395_T_F112331-F94490	0.006639324	0.0013461529	0.0014639116	0.9471906	0.043359984	200	0.5
32655_T_F111504	0.0066858386	0.012992592	0.026518924	0.93024224	0.023560364	200	0.5
33373_T_F94422	0.056002807	0.47446415	0.03569365	0.42969468	0.0041446933	200	0.5
36067_T_F94494	0.014532619	0.16118367	0.017413411	0.8057535	0.001116756	200	0.5
40168_T_F94519	0.07417754	0.024673415	0.030005258	0.5511056	0.3200382	200	0.5
41813_T_F94516	0.004958553	0.0018964283	0.0015643453	0.97330624	0.018274458	200	0.5
F138888	0.0007000834	0.0063097975	0.5282325	0.43356946	0.031188115	200	0.5
F148364	0.0011840626	7.014819e-06	0.000110367815	0.30766264	0.6910358	200	0.5
F148365	0.0019589127	0.0005064531	0.0098156035	0.8270669	0.16065206	200	0.5
F148367	0.007064236	0.00053352996	0.0038983386	0.5605354	0.42796856	200	0.5
F148369	0.010305295	0.087977625	0.0034067105	0.8977413	0.0005690878	200	0.5
F148370	0.007848414	0.007564042	0.005989276	0.9603092	0.018289134	200	0.5
F148374	0.0032611222	0.0016848309	0.08208392	0.57058877	0.34238133	200	0.5
F148375	2.0036841e-05	1.7204923e-07	0.0005208828	0.050772734	0.94868624	200	0.5
F148376	0.18874937	0.10222715	0.030135414	0.4888702	0.19001792	200	0.5
F148377	0.0050429385	0.016048228	0.009175167	0.965529	0.004204593	200	0.5
32395_T_F112331-F94490	0.0054086293	0.0014437902	0.0025464953	0.9430074	0.04759375	250	0.5
32655_T_F111504	0.0076278546	0.0129994145	0.028210267	0.92053723	0.030625243	250	0.5
33373_T_F94422	0.08645464	0.49249592	0.030096104	0.38455927	0.0063939965	250	0.5
36067_T_F94494	0.014225451	0.16931967	0.01825643	0.7971305	0.0010678882	250	0.5
40168_T_F94519	0.063934855	0.02394103	0.030622613	0.6013734	0.28012818	250	0.5
41813_T_F94516	0.0049199318	0.002099493	0.0020032641	0.9716835	0.019293766	250	0.5
F138888	0.0005542318	0.006345927	0.5893245	0.37942296	0.024352418	250	0.5
F148364	0.00093143753	3.878814e-06	7.994437e-05	0.14815089	0.8508339	250	0.5
F148365	0.001040145	0.0002702378	0.023644203	0.68454236	0.29050308	250	0.5
F148367	0.008281371	0.0005761382	0.003653278	0.53494793	0.45254126	250	0.5
F148369	0.010453608	0.08736132	0.0037274589	0.8978247	0.0006329169	250	0.5
F148370	0.0076824543	0.0070825676	0.006594801	0.958338	0.02030209	250	0.5
F148374	0.002803664	0.0011910709	0.04437419	0.6757887	0.27584234	250	0.5
F148375	2.5300755e-05	2.3025878e-07	0.00056458113	0.051624913	0.94778496	250	0.5
F148376	0.17892767	0.0905271	0.026555907	0.51456183	0.18942744	250	0.5
